record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes,official_override_status,official_source_checked,eql_wiki_listing_status,eql_wiki_verification_state,current_build_confirmed,evidence_grade,evidence_strength,conflict_status,classic_original_launch,classic_historical_era,last_directly_observed,primary_evidence_layer,per_field_provenance_notes,source_record_id,faction_risk_level,faction_hits_known,faction_gains_known,city_access_risk,merchant_access_risk,quest_access_risk,initial_disposition,protected_npc_type,faction_behavior_notes
B12-COR-001,12,,The Feerrott,A Crude Stein,,,,,,,,,,,,,STA +10; CHA +15,,,,1 instant charge: Minor Healing,Bouncer Hurd,,,,,,,Oggok faction patrol,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B02-FER-001,Critical,,,Yes,Yes,Yes,,City guard / bouncer,
B12-COR-002,12,,East Commonlands,Bloodstone,,,,,,,,,,,,,,,,,,Sergeant Slate,,,,,,,Roaming Freeport faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B03-ECL-004,Critical,,,Yes,Potential,Yes,,City-aligned guard,
B12-COR-003,12,,Northern Karana,Cracked Corrupt Guard Helm,,,,,,,,,,,,,,,,,,Guard Shilster,,,,,,,Corrupt Qeynos faction guard,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B06-NKA-013,Conditional,,,Conditional,Potential,Yes,,Corrupt guard / quest target,
B12-COR-004,12,,Butcherblock Mountains,Bloodforge Hammer,,,,,,,,,,,,,13 damage / 50 delay; MR +10,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B08-BBM-002,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,
B12-COR-005,12,,Butcherblock Mountains,Dwarven Blood,,,,,,,,,,,,,,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B08-BBM-003,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,
B12-COR-006,12,,Highpass Hold,Highpass Guard Equipment Record,,,,,,,,,,,,,,,,,,Highpass guard population,,,,,,,Protected settlement guards,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-009,Critical,,,Yes,Yes,Yes,,Settlement guard,
B12-COR-007,12,,Highpass Hold,Merchant/Noble Named Loot Group,,,,,,,,,,,,,,,,,,Settlement merchants or nobles,,,,,,,Protected merchant/noble NPCs,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-010,Critical,,,Yes,Yes,Yes,,Merchant or settlement noble,
B12-COR-008,12,,Highpass Hold,Highpass Quest Reward Group,,,,,,,,,,,,,,,,,,Zone-started quests,,,,,,,Quest reward group,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-HPH-013,Conditional,,,Potential,Potential,Yes,,Quest NPC population,
B12-COR-009,12,,Surefall Glade,Poacher's Head,,,,,,,,,,,,,,,,,,a poacher or Poacher,,,,,,,Hostile poacher source,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-SFG-007,Minor,,,No,No,Conditional,,Hostile poacher,
B12-COR-010,12,,Surefall Glade,Human Blood,,,,,,,,,,,,,,,,,,Merdan Fleetfoot or Niera Farbreeze,,,,,,,Protected faction NPC,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B11-SFG-012,Critical,,,Yes,Potential,Yes,,Protected Ranger/Druid faction NPC,
B12-COR-011,12,,Kerra Island,Cat o' Nine Tails,,,,,,,,,,,,,9 damage / 36 delay,,,,Combat proc: Feet like Cat; level 20,Kerran Tiger Spahi,,,,,,,Faction-sensitive Kerran population,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-001,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-012,12,,Kerra Island,Hexed Kerran Doll,,,,,,,,,,,,,CHA +6; Mana +30,,,,,The Kerran Sha'rr,,,,,,,Faction-sensitive named Kerran,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-007,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-013,12,,Kerra Island,Kerran War Spear,,,,,,,,,,,,,8 damage / 34 delay,,,,,The Kerran Sha'rr,,,,,,,Faction-sensitive named Kerran,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-008,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-014,12,,Kerra Island,Kerran Tribal Headband,,,,,,,,,,,,,WIS +2; INT +2; Mana +10,,,,,Hamed Grarr,,,,,,,Faction-sensitive named Kerran,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-009,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-015,12,,Kerra Island,Hamed's Ring of Tears,,,,,,,,,,,,,Mana +15; FR +3; CR +3; MR +3,,,,,Hamed Grarr,,,,,,,Faction-sensitive named Kerran,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-010,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-016,12,,Kerra Island,Shazda Turban,,,,,,,,,,,,,DEX +4; AGI +4,,,,Focus: Extended Enhancement I,Shazda Asad,,,,,,,Faction-sensitive named Kerran,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-011,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-017,12,,Kerra Island,Kerran Headband,,,,,,,,,,,,,AC 1; STR +4; WIS +2,,,,,Kerran population/source,,,,,,,Faction-sensitive Kerran population,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-023,Significant,,,Conditional,Conditional,Yes,,Kerran citizen / faction NPC,
B12-COR-018,12,,Kerra Island,Gorilla Hide Mask,,,,,,,,,,,,,AC 3; STR +2; AGI +3; CHA -8,,,,,Lord Gongo,,,,,,,Named outdoor gorilla,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-003,None known,,,No,No,No,,None,
B12-COR-019,12,,Kerra Island,Gorilla Hide Leggings,,,,,,,,,,,,,AC 6; STR +3; DEX +4; CHA -8,,,,,Lord Gongo,,,,,,,Named outdoor gorilla,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-004,None known,,,No,No,No,,None,
B12-COR-020,12,,Kerra Island,Mystical Claws of Jojo,,,,,,,,,,,,,4 damage / 19 delay,,,,,Jo Jo,,,,,,,Named outdoor tiger,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-005,None known,,,No,No,No,,None,
B12-COR-021,12,,Kerra Island,Tiger Hide Gloves,,,,,,,,,,,,,AC 2; STR +2; DEX +2,,,,,Jo Jo,,,,,,,Named outdoor tiger,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-KER-006,None known,,,No,No,No,,None,
B12-COR-022,12,,Lesser Faydark,Twice-Woven Cloak,,,,,,,,,,,,,,,,,,faerie or fairy guards,,,,,,,Faction-sensitive faerie guard population,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B09-LFY-007,Significant,,,Conditional,Conditional,Yes,,Faerie guard,
B12-COR-023,12,,Lesser Faydark,Twice-Woven Silk,,,,,,,,,,,,,,,,,,faerie or fairy guards,,,,,,,Faction-sensitive faerie guard population,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B09-LFY-008,Significant,,,Conditional,Conditional,Yes,,Faerie guard,
B12-COR-024,12,,Stonebrunt Mountains,Giang Yin's Claws,,,,,,,,,,,,,7 damage / 28 delay; STR +3; WIS +3; MR +5,,,,,Giang Yin,,,,,,,Named quest turn-in NPC and loot source,,,,,,,,,,,,,,,,,,,,Faction classification correction to approved geographic row.,Supplemental correction,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Correct,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,B10-STB-010,Significant,,,Conditional,No,Yes,,Quest turn-in NPC and named loot source,
B12-FER-001,12,,The Feerrott,A Crude Stein,,,,,,,,,,,,,,,,,1 instant charge: Minor Healing,Bouncer Flerb,,,,,,,Oggok faction patrol,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Critical,,,Yes,Yes,Yes,,City guard / bouncer,
B12-INN-001,12,,Innothule Swamp,Intestine Necklace,,,,,,,,,,,,,,,,,,Basher Sklama,,,,,,,Grobb faction guard,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Critical,,,Yes,Potential,Yes,,Grobb guard,
B12-BBM-001,12,,Butcherblock Mountains,Dwarven Blood,,,,,,,,,,,,,,,,,,Nyzil Bloodforge,,,,,,,Kaladim-aligned faction NPC,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Critical,,,Yes,Potential,Yes,,Dwarf citizen / warrior,
B12-LFY-001,12,,Lesser Faydark,Power of Earth,,,,,,,,,,,,,,,,,,faerie or fairy guards,,,,,,,Faction-sensitive faerie guard population,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Significant,,,Conditional,Conditional,Yes,,Faerie guard,
B12-EKA-001,12,,Eastern Karana,Halfling Parts,,,,,,,,,,,,,,,,,,Sir Morgan,,,,,,,Friendly roaming protector / quest NPC,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Significant,,,Conditional,No,Yes,,Friendly protector / quest NPC,
B12-KER-001,12,,Kerra Island,Jade Shard,,,,,,,,,,,,,,,,,,gorilla protector,,,,,,,Faction-adjacent gorilla source,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,None known,,,No,No,No,,None,
B12-STB-001,12,,Stonebrunt Mountains,Kejekan Smithy Hammer,,,,,,,,,,,,,,,,,,Emylie Steelclaws quest,,,,,,,Kejek faction quest reward,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,None known,,,No,No,Yes,,Reusable faction-quest tool,
B12-STB-002,12,,Stonebrunt Mountains,Soulforge Hammer,,,,,,,,,,,,,,,,,,Giang Yin turn-in,,,,,,,Faction-sensitive quest turn-in,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Significant,,,Conditional,No,Yes,,Reusable purification tool,
B12-STB-003,12,,Stonebrunt Mountains,Kejek Spirit Powder,,,,,,,,,,,,,,,,,,Spirit Aid chain,,,,,,,Faction quest-chain component,,,,,,,,,,,,,,,,,,,,New faction-specific item/source relationship.,Faction-specific supplemental row,Supplemental,,,,,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Add,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No public direct observation found,C,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,None known,,,No,No,Yes,,Repeatable faction-system component,
B12-RAT-Q01,12,,Rathe Mountains,Sir Edwin Motte Ringmail Source Group,,,,,,,,,,,,,,,,,,Sir Edwin Motte,,,,,,,Neutral quest NPC / faction-sensitive named target,,,,,,,,,,,,,,,,,,,,Faction research record.,Research/quarantine,Supplemental,,,,Classic-only Ringmail source remains unconfirmed in EQL.,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Quarantine,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No,E,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Unverified,,,,,,,Neutral quest NPC,
B12-KER-Q01,12,,Kerra Island,Banished Kerran Faction Behavior,,,,,,,,,,,,,,,,,,a banished kerran,,,,,,,Faction-sensitive Kerran outcast,,,,,,,,,,,,,,,,,,,,Faction research record.,Research/quarantine,Supplemental,,,,No visible faction hit reported; exact current consequences unresolved.,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Quarantine,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No,D,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Unverified,,,,,,,Banished Kerran,
B12-STB-Q01,12,,Stonebrunt Mountains,Historical Trivial-Loot Behavior,,,,,,,,,,,,,,,,,,Zone-level historical system,,,,,,,Historical zone mechanic,,,,,,,,,,,,,,,,,,,,Faction research record.,Research/quarantine,Supplemental,,,,Do not assume historical trivial-loot code exists in EQL.,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Quarantine,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No,D,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Unverified,,,,,,,Not an NPC,
B12-TOX-Q01,12,,Toxxulia Forest,Sentinel Creot Item Identity,,,,,,,,,,,,,,,,,,Sentinel Creot,,,,,,,Faction-sensitive quest NPC,,,,,,,,,,,,,,,,,,,,Faction research record.,Research/quarantine,Supplemental,,,,Exact item identity remains unresolved.,Yes,4,,,,,,,EQL Wiki Linked — Faction classification normalized,Quarantine,,,,,,,,,,,,2026-07-23,,,No applicable official item-specific statement found,Yes,,,No,D,EQL Wiki linked; faction classification normalized,None identified,,,,EQL Wiki,Batch 12 supplemental faction audit.,,Unverified,,,,,,,Faction quest NPC,
